Číslo;Druh/počet záznamů;Nálezů;Zastoupení (%);
20417;Staurastrum vestitum;7;0;
20418;Ramariopsis pulchella - kuřinec lilákový;7;0;
20419;Urtica dodartii - kopřiva Dodartova;7;0;
20420;Pupilla alpicola - zrnovka slatinná;7;0;
20421;Tricholoma pardinum - čirůvka tygrovaná;7;0;
20422;Oecoptoma thoracica - Nezařazený druh;7;0;
20423;Eudorylas obscurus;7;0;
20424;Eucosma aemulana;7;0;
20425;Dorylomorpha rufipes;7;0;
20426;Zeugophora frontalis;7;0;
20427;Parajungiella serbica;7;0;
20428;Cosmarium regnesii;7;0;
20429;Staurastrum sexcostatum;7;0;
20430;Euastrum bidentatum var. speciosum;7;0;
20431;Cosmarium subgranatum var. borgei;7;0;
20432;Osteina obducta - trsnateček kosťový;7;0;
20433;Orthocladius sp.;7;0;
20434;Legnotus picipes;7;0;
20435;Phytolacca sp.;7;0;
20436;Cichorium endivia - čekanka štěrbák;7;0;
20437;Nemastoma triste;7;0;
20438;Cosymbia punctaria - Nezařazený druh;7;0;
20439;Eumenes papillarius - jízlivka krátkosrstá;7;0;
20440;Matricaria maritima - Nezařazený druh;7;0;
20441;Bradycellus sp.;7;0;
20442;Lophium mytilinum;7;0;
20443;Stelis signata - smutěnka skvrnitá;7;0;
20444;Ephemerum sp.;7;0;
20445;Lachnellula calyciformis;7;0;
20446;Drosophila funebris;7;0;
20447;Psoroma hypnorum;7;0;
20448;Scaptodrosophila deflexa;7;0;
20449;Pistia stratiotes - babelka řezanovitá;7;0;
20450;Platypalpus cryptospina;7;0;
20451;Pneumia gracilis;7;0;
20452;Calosirus terminatus;7;0;
20453;Orthonevra brevicornis;7;0;
20454;Entoloma jubatum - závojenka sazolupenná;7;0;
20455;Lamproplax picea - pozemka rašelinná;7;0;
20456;Rhizocarpon cinereovirens;7;0;
20457;Moerckia hibernica;7;0;
20458;Carabus clathratus - střevlík mřížkovaný;7;0;
20459;Liochthonius clavatus - kratěnka kyjovitá;7;0;
20460;Dolichopus longicornis;7;0;
20461;Suctobelba secta - savinka prostřední;7;0;
20462;Aphodius varians;7;0;
20463;Nardia compressa - okružnice stlačená;7;0;
20464;Lecanora impudens;7;0;
20465;Nanhermannia sellnicki - krasohrotka severská;7;0;
20466;Ablabesmyia monilis;7;0;
20467;Micarea adnata;7;0;
20468;Gomphidius maculatus - slizák skvrnitý;7;0;
20469;Tinea columbariella;7;0;
20470;Choleva lederiana;7;0;
20471;Melampyrum herbichii;7;0;
20472;Typhaea decipiens;7;0;
20473;Atomaria atrata;7;0;
20474;Ochrolechia alboflavescens;7;0;
20475;Lecania sp.;7;0;
20476;Otites guttata;7;0;
20477;Oscinella nigerrima;7;0;
20478;Fannia metallipennis;7;0;
20479;Pipunculus fonsecai;7;0;
20480;Leucophora personata;7;0;
20481;Hilara nigrohirta;7;0;
20482;Phebellia nigripalpis;7;0;
20483;Drepanosiphum sp.;7;0;
20484;Periphyllus acericola;7;0;
20485;Dacrymyces enatus - kropilka hnědá;7;0;
20486;Tricholoma arvensense - čirůvka příbuzná;7;0;
20487;Apatania carpathica;7;0;
20488;Collema glebulentum;7;0;
20489;Ramariopsis subtilis - kuřinec útlý;7;0;
20490;Lithobius crassipes;7;0;
20491;Lyophyllum paelochroum - líha nečistá;7;0;
20492;Syntrichia sp.;7;0;
20493;Suillia lurida;7;0;
20494;Lonchoptera strobli;7;0;
20495;Nephrocerus lapponicus;7;0;
20496;Lonchaea subneatosa;7;0;
20497;Nabis ericetorum - lovčice vřesovištní;7;0;
20498;Phora edentata;7;0;
20499;Docosia moravica;7;0;
20500;Opalimosina czernyi;7;0;
20501;Clastobasis alternans;7;0;
20502;Pipunculus calceatus;7;0;
20503;Stephanoceros fimbriatus;7;0;
20504;Heyderia cucullata - čapulka jedlová;7;0;
20505;Leptosporomyces mutabilis - kornatečka proměnlivá;7;0;
20506;Gnathotrichus materiarus;7;0;
20507;Diphyus quadripunctorius;7;0;
20508;Verrucaria fuscovelutina;7;0;
20509;Ceraceomyces eludens - voskovec klamný;7;0;
20510;Anoplius caviventris;7;0;
20511;Conocybe albipes - čepičatka mléčná;7;0;
20512;Lasioderma thoracicum;7;0;
20513;Ramalina europaea;7;0;
20514;Homoeosoma sinuellum - Nezařazený druh;7;0;
20515;Nematinus fuscipennis;7;0;
20516;Nematus melanaspis;7;0;
20517;Lixus pulverulentus;7;0;
20518;Arge berberidis;7;0;
20519;Agonopterix laterella;7;0;
20520;Choerades gilva;7;0;
20521;Lactarius sanguifluus - ryzec krvomléčný;7;0;
20522;Phasia hemiptera;7;0;
20523;Zeiraphera ratzeburgiana;7;0;
20524;Nitela spinolai;7;0;
20525;Lepocinclis spiroides;7;0;
20526;Pholiota lubrica - šupinovka hnědočervená;7;0;
20527;Puccinia coronata - Nezařazený druh;7;0;
20528;Rubus allegheniensis - ostružiník alleghenský;7;0;
20529;Stigmella szoecsiella;7;0;
20530;Coprinellus heterothrix;7;0;
20531;Nabis pseudoferus pseudoferus;7;0;
20532;Arrhenia onisca - kalichovka černohnědá;7;0;
20533;Protonemura praecox;7;0;
20534;Closterium littorale;7;0;
20535;Cortinarius betulinus - pavučinec březový;7;0;
20536;Saprinus aeneus;7;0;
20537;Celypha rurestrana;7;0;
20538;Coleophora nutantella;7;0;
20539;Atheta oblita;7;0;
20540;Lesteva pubescens;7;0;
20541;Brachyopa dorsata;7;0;
20542;Oecetis furva;7;0;
20543;Tetanocera hyalipennis;7;0;
20544;Rhagonycha nigriceps;7;0;
20545;Chamaepsila nigra;7;0;
20546;Calyptra thalictri - hnědopáska žluťuchová;7;0;
20547;Phacophallus parumpunctatus;7;0;
20548;Scenopinus fenestralis;7;0;
20549;Sphegina latifrons;7;0;
20550;Lamprinodes saginatus;7;0;
20551;Diachrysia zosimi - kovolesklec totenový;7;0;
20552;Rubus scaber - ostružiník drsný;7;0;
20553;Valvata macrostoma - točenka veleústá;7;0;
20554;Orchestes calceatus;7;0;
20555;Entoloma sepium - závojenka sadovka;7;0;
20556;Aster versicolor - hvězdnice různobarvá;7;0;
20557;Cordilura picipes;7;0;
20558;Anthrenus sp.;7;0;
20559;Hydnobius spinipes;7;0;
20560;Limnia unguicornis;7;0;
20561;Pherbellia schoenherri;7;0;
20562;Fannia pallitibia;7;0;
20563;Cyrtopogon lateralis;7;0;
20564;Sarcophaga emdeni;7;0;
20565;Phytomyza abdominalis;7;0;
20566;Hieracium saxifragum - jestřábník lomikamenovitý;7;0;
20567;Quedius ochripennis;7;0;
20568;Buellia schaereri;7;0;
20569;Gampsocera numerata;7;0;
20570;Cheilosia chloris;7;0;
20571;Sargus cuprarius;7;0;
20572;Tenebroides fuscus;7;0;
20573;Daucus sp.;7;0;
20574;Bythinus securiger;7;0;
20575;Hypera sp.;7;0;
20576;Psychoda crassipennis;7;0;
20577;Euleia heraclei;7;0;
20578;Cosmarium pseudowembaerense;7;0;
20579;Cosmarium jaoi;7;0;
20580;Staurastrum lunatum;7;0;
20581;Staurodesmus extensus;7;0;
20582;Dioxyna bidentis;7;0;
20583;Ledra aurita;7;0;
20584;Lobrathium multipunctum;7;0;
20585;Entoloma dysthaloides - závojenka tmavolupenná;7;0;
20586;Orbilia auricolor - kruhovka zlatobarvá;7;0;
20587;Chrysis ruddii;7;0;
20588;Belonioscypha culmicola - Nezařazený druh;7;0;
20589;Omphaliaster asterosporus - kalichovka hvězdovýtrusá;7;0;
20590;Microdynerus timidus;7;0;
20591;Homonotus sanguinolentus;7;0;
20592;Lolium × hybridum;7;0;
20593;Chrysis inaequalis;7;0;
20594;Eiglera flavida;7;0;
20595;Halictus sp.;7;0;
20596;Pityophthorus lichtensteini - lýkožrout haluzový;7;0;
20597;Ascobolus carbonarius - hovník spáleništní;7;0;
20598;Andrena clarkella;7;0;
20599;Cydia conicolana;7;0;
20600;Polydesmus sp.;7;0;
20601;Seligeria acutifolia - kápěnka ostrolistá;7;0;
20602;Plectrocnemia brevis;7;0;
20603;Otiorhynchus tristis;7;0;
20604;Paratendipes albimanus;7;0;
20605;Hardya tenuis;7;0;
20606;Xysticus lineatus - běžník bylinný;7;0;
20607;Acartophthalmus bicolor;7;0;
20608;Liebstadia willmanni - lučinka zploštělá;7;0;
20609;Rhizocarpon furfurosum;7;0;
20610;Cultroribula juncta - dvojnechtíček oválný;7;0;
20611;Cladopodiella francisci - ždírnice Francisova;7;0;
20612;Polypogon monspeliensis - vousec středomořský;7;0;
20613;Dryudella femoralis;7;0;
20614;Lecidea tesselata;7;0;
20615;Agathidium nigrinum;7;0;
20616;Nebria salina;7;0;
20617;Conops flavipes;7;0;
20618;Cacopsylla pyricola;7;0;
20619;Phronia nigricornis;7;0;
20620;Arachnospila abnormis - hrabalka štětinatá;7;0;
20621;Heriaeus graminicola - běžník trávový;7;0;
20622;Gyrophaena joyi;7;0;
20623;Tettigometra virescens - plochulka zelená;7;0;
20624;Lactarius violascens - ryzec fialovějící;7;0;
20625;Ligyrocoris sylvestris - pozemka severská;7;0;
20626;Bruchus pisorum;7;0;
20627;Lecanora compallens;7;0;
20628;Hildenbrandia rivularis;7;0;
20629;Pipizella virens;7;0;
20630;Oppiella splendens - drobnožička lesklá;7;0;
20631;Azolla filiculoides - azola americká;7;0;
20632;Suctobelbata prelli - pasavinka zrnitá;7;0;
20633;Syntrichia fragilis - rourkatec křehký;7;0;
20634;Ornithogalum orthophyllum - Nezařazený druh;7;0;
20635;Rhizocarpon petraeum;7;0;
20636;Epilobium × floridulum;7;0;
20637;Dicranum spadiceum - dvouhrotec opomíjený;7;0;
20638;Leptogium magnussonii;7;0;
20639;Orthotomicus longicollis;7;0;
20640;Eulimosina ochripes;7;0;
20641;Forcipomyia tenuisquama;7;0;
20642;Helina confinis;7;0;
20643;Megamerina dolium;7;0;
20644;Molophilus propinquus;7;0;
20645;Coenosia albicornis;7;0;
20646;Schizaphis graminum;7;0;
20647;Hyperomyzus sp.;7;0;
20648;Amanita magnivolvata - muchomůrka velkopochvá;7;0;
20649;Leucanthemum maximum - kopretina velkokvětá;7;0;
20650;Rhizopogon vulgaris - kořenovec tenkovýtrusný;7;0;
20651;Limnichus sericeus;7;0;
20652;Leucoagaricus sericifer;7;0;
20653;Hemipholiota heteroclita - šupinovka zavalitá;7;0;
20654;Euchlanis incisa;7;0;
20655;Stenus pallipes;7;0;
20656;Aulodrilus limnobius;7;0;
20657;Gentiana purpurea - hořec nachový;7;0;
20658;Teutonia cometes;7;0;
20659;Lecanora lojkaeana;7;0;
20660;Chiasmia signaria - Nezařazený druh;7;0;
20661;Periclistus brandtii;7;0;
20662;Bryaxis sp.;7;0;
20663;Pachynematus montanus;7;0;
20664;Mesoneura opaca;7;0;
20665;Platypalpus annulatus;7;0;
20666;Hordeum distichon - Nezařazený druh;7;0;
20667;Anasimyia lineata;7;0;
20668;Apamea sicula;7;0;
20669;Halictus nitidiusculus;7;0;
20670;Limacella guttata - slizobedla slzivá;7;0;
20671;Ectemnius cephalotes;7;0;
20672;Hemipholiota oedipus - Nezařazený druh;7;0;
20673;Miltogramma punctata;7;0;
20674;Helius longirostris;7;0;
20675;Sarcophaga argyrostoma;7;0;
20676;Monoraphidium nanum - Nezařazený druh;7;0;
20677;Hydroporus sp.;7;0;
20678;Cymbella affinis;7;0;
20679;Verbascum × vidavense;7;0;
20680;Euura atra;7;0;
20681;Dolerus gessneri;7;0;
20682;Dryops sp.;7;0;
20683;Epiblema grandaevana;7;0;
20684;Geopora arenosa - hrobenka písečná;7;0;
20685;Thiotricha subocellea;7;0;
20686;Cercyon sp.;7;0;
20687;Stenus pubescens;7;0;
20688;Zygnema sp. - Nezařazený druh;7;0;
20689;Lasioglossum sabulosum;7;0;
20690;Adela mazzolella;7;0;
20691;Polymerus palustris;7;0;
20692;Drosera sp.;7;0;
20693;Physemocecis hartigi;7;0;
20694;Agapetus ochripes;7;0;
20695;Tychius sharpi;7;0;
20696;Atomaria contaminata;7;0;
20697;Molinia arundinacea agg. - Nezařazený druh;7;0;
20698;Glaphyra marmottani;7;0;
20699;Acasis appensata - šedokřídlec samorostlíkový;7;0;
20700;Nasturtium sp.;7;0;
20701;Leiodes cinnamomea;7;0;
20702;Bicellaria vana;7;0;
20703;Micropeplus mariettii;7;0;
20704;Euophrys sp.;7;0;
20705;Diastata adusta;7;0;
20706;Dicranophragma nemorale;7;0;
20707;Galerina lacustris - čepičatka vlhkomilná;7;0;
20708;Petunia × atkinsiana - petúnie zahradní;7;0;
20709;Cheilosia himantopus;7;0;
20710;Xylota jakutorum;7;0;
20711;Heptagenia sp.;7;0;
20712;Dyschiriodes chalybeus gibbifrons;7;0;
20713;Hypericum dubium - třezalka přítupá;7;0;
20714;Paramormia polyascoidea;7;0;
20715;Closterium idiosporum;7;0;
20716;Staurodesmus dejectus var. apiculatus;7;0;
20717;Closterium delpontei;7;0;
20718;Staurastrum eurycerum;7;0;
20719;Euastrum binale;7;0;
20720;Chaetosphaeria ovoidea;7;0;
20721;Ocyusa maura;7;0;
20722;Crataegus pedicellata - hloh břekolistý;7;0;
20723;Seligeria campylopoda - kápěnka křivoštětá;7;0;
20724;Ramonia chrysophaea;7;0;
20725;Geocoris grylloides - hlavěnka okatá;7;0;
20726;Placochilus seladonicus - klopuška chrastavcová;7;0;
20727;Calocoris alpestris;7;0;
20728;Corticaria ferruginea;7;0;
20729;Arachnospila ausa;7;0;
20730;Amaurosoma brevifrons;7;0;
20731;Heterothops praevius;7;0;
20732;Ascocorticium anomalum - vřeckokornatec odlišný;7;0;
20733;Frutidella caesioatra;7;0;
20734;Leptosphaeria doliolum - drobnička lesklá;7;0;
20735;Panus lecomtei - hlíva chlupatá;7;0;
20736;Cryptophagus nitidulus;7;0;
20737;Euphyia cucullata - Nezařazený druh;7;0;
20738;Drosophila immigrans;7;0;
20739;Psilosoma lefebvrei;7;0;
20740;Aleochara tristis;7;0;
20741;Rhamphus subaeneus;7;0;
20742;Hilara flavipes;7;0;
20743;Brachycentrus montanus;6;0;
20744;Cinetata gradata - pavučenka stupínkatá;6;0;
20745;Festuca pallens subsp. scabrifolia - kostřava sivá draslavá;6;0;
20746;Trachelomonas cervicula var. cervicula;6;0;
20747;Euglena adhaerens;6;0;
20748;Taraxacum rubicundum - pampeliška červenavá;6;0;
20749;Chaetocnema procerula;6;0;
20750;Achillea filipendulina - řebříček tužebníkovitý;6;0;
20751;Physalis peruviana - mochyně peruánská;6;0;
20752;Spinellus fusiger;6;0;
20753;Cassida subreticulata;6;0;
20754;Racomitrium macounii subsp. macounii - zoubkočepka Macounova pravá;6;0;
20755;Micropsectra atrofasciata;6;0;
20756;Acanthiophilus helianthi;6;0;
20757;Hybomitra arpadi;6;0;
20758;Plationus patulus;6;0;
20759;Gyalecta hypoleuca;6;0;
20760;Nomada sexfasciata - nomáda šestiskvrnná;6;0;
20761;Hieracium atratum agg. - jestřábník černý;6;0;
20762;Hymenoscyphus imberbis - voskovička hladká;6;0;
20763;Placynthium subradiatum;6;0;
20764;Minilimosina bicuspis;6;0;
20765;Cordyla crassicornis;6;0;
20766;Coelosia fusca;6;0;
20767;Coenosia octosignata;6;0;
20768;Medetera muralis;6;0;
20769;Admontia blanda;6;0;
20770;Forcipomyia bipunctata;6;0;
20771;Triphleba autumnalis;6;0;
20772;Hilara pruinosa;6;0;
20773;Adialytus thelaxis;6;0;
20774;Cortinarius eucaeruleus;6;0;
20775;Caloplaca herbidella;6;0;
20776;Stigmella eberhardi;6;0;
20777;Osmia pilicornis - zednice vápencová;6;0;
20778;Cucujus haematodes - lesák krvavý;6;0;
20779;Dendrodochium citrinum;6;0;
20780;Sterictiphora angelicae;6;0;
20781;Issus coleoptratus;6;0;
20782;Lecane elsa;6;0;
20783;Grimmia teretinervis - děrkavka tlustožeberná;6;0;
20784;Callonetta leucophrys - kachnička šedoboká;6;0;
20785;Synchaeta longipes;6;0;
20786;Lindtneria chordulata - lindtnerovka vatovitá;6;0;
20787;Gastrallus vavrai;6;0;
20788;Eunotia sp. - Nezařazený druh;6;0;
20789;Cercis siliquastrum - zmarlika Jidášova;6;0;
20790;Fieberiella florii;6;0;
20791;Oxyrrhynchium hians var. rigidum;6;0;
20792;Exomias pellucidus;6;0;
20793;Neobisnius villosulus;6;0;
20794;Campsicnemus scambus;6;0;
20795;Platypeza consobrina;6;0;
20796;Rivellia syngenesiae;6;0;
20797;Rabdophaga rosaria;6;0;
20798;Calliopum elisae;6;0;
20799;Psilocybe cyanescens agg. - Nezařazený druh;6;0;
20800;Thereva valida;6;0;
20801;Azelia nebulosa;6;0;
20802;Alcis jubata - různorožec mechový;6;0;
20803;Chrysotus laesus;6;0;
20804;Orthocephalus brevis;6;0;
20805;Philonthus longicornis;6;0;
20806;Coprinopsis friesii;6;0;
20807;Adia cinerella;6;0;
20808;Harmandiola cavernosa;6;0;
20809;Jungiella hygrophila;6;0;
20810;Closterium closterioides var. intermedium;6;0;
20811;Cosmarium paragranatoides;6;0;
20812;Cosmarium ralfsii;6;0;
20813;Cosmarium debaryi;6;0;
20814;Closterium pseudolunula;6;0;
20815;Criorhina berberina;6;0;
20816;Ceutorhynchus moraviensis;6;0;
20817;Prochoreutis sehestediana;6;0;
20818;Acrotrichis montandoni;6;0;
20819;Scutellinia cejpii - kosmatka Cejpova;6;0;
20820;Tamarix sp.;6;0;
20821;Sciocoris microphthalmus;6;0;
20822;Saprinus lautus;6;0;
20823;Chrysomphalina chrysophylla - kalichovka zlatolupenná;6;0;
20824;Omalium validum;6;0;
20825;Mycenella trachyspora;6;0;
20826;Philonotis marchica - vlahovka poříční;6;0;
20827;Dictyosphaerium tetrachotomum;6;0;
20828;Crossocerus cinxius - kutík prstenatý;6;0;
20829;Dioxys cincta;6;0;
20830;Peltigera elisabethae;6;0;
20831;Lygris mellinata - Nezařazený druh;6;0;
20832;Osmia niveata - zednice lesomilná;6;0;
20833;Erica sp.;6;0;
20834;Phratora tibialis tibialis;6;0;
20835;Trollius sp.;6;0;
20836;Sphecodes rufiventris;6;0;
20837;Crossocerus capitosus - kutík hlavatý;6;0;
20838;Trechus cardioderus - Nezařazený druh;6;0;
20839;Sparganothis rubicundana;6;0;
20840;Antrodiella romellii - outkovečka Romellova;6;0;
20841;Phtheochroa schreibersiana;6;0;
20842;Megachile leachella - čalounice jetelová;6;0;
20843;Ceutorhynchus nanus;6;0;
20844;Cladonia novochlorophaea;6;0;
20845;Aronia × prunifolia;6;0;
20846;Immersaria athroocarpa;6;0;
20847;Pholiotina vestita - čepičatka ošacená;6;0;
20848;Priocnemis agilis;6;0;
20849;Nardus sp.;6;0;
20850;Rhamphomyia tibialis;6;0;
20851;Lasiomma strigilatum;6;0;
20852;Epilobium × schmidtianum;6;0;
20853;Lagenobates lagenula - úhledníček zkroucený;6;0;
20854;Hieracium schneiderianum - jestřábník Schneiderův;6;0;
20855;Radula sp.;6;0;
20856;Streptanus aemulans;6;0;
20857;Globiceps sphaegiformis;6;0;
20858;Zygota praetor;6;0;
20859;Phorbia unipila;6;0;
20860;Stigmella lonicerarum;6;0;
20861;Megalepthyphantes pseudocollinus - plachetnatka Saaristova;6;0;
20862;Taeniapion rufulum;6;0;
20863;Trachelomonas nigra;6;0;
20864;Phacus triquetra;6;0;
20865;Rhizocarpon ridescens;6;0;
20866;Graptoppia foveolata - drobnožka jamkovaná;6;0;
20867;Orchis × loreziana;6;0;
20868;Andreaea crassinervia - štěrbovka tlustožeberná;6;0;
20869;Ephestia unicolorella;6;0;
20870;Capnia vidua;6;0;
20871;Biscogniauxia granmoi - káčovka střemchová;6;0;
20872;Hebeloma fusisporum - slzivka vřetenovýtrusá;6;0;
20873;Cerceris sabulosa dahlbomi;6;0;
20874;Rheum palmatum - reveň dlanitá;6;0;
20875;Lecidea huxariensis;6;0;
20876;Stephanodiscus parvus;6;0;
20877;Entoloma incarnatofuscescens - závojenka modrohnědá;6;0;
20878;Lepiseodina tristis;6;0;
20879;Chalarus pughi;6;0;
20880;Trixoscelis canescens;6;0;
20881;Neoempheria winnertzi;6;0;
20882;Siphona pauciseta;6;0;
20883;Fannia hirticeps;6;0;
20884;Aulacigaster pappi;6;0;
20885;Phytomyza medicaginis;6;0;
20886;Aphis plantaginis;6;0;
20887;Lecania caeruleorubella;6;0;
20888;Hoplitis mitis - zednice zvonková;6;0;
20889;Sclerophora pallida;6;0;
20890;Elanus caeruleus - luněc šedý;6;0;
20891;Helophorus liguricus;6;0;
20892;Clitocybe anisata - strmělka anýzová;6;0;
20893;Gastrallus knizeki;6;0;
20894;Nanocladius balticus;6;0;
20895;Paratrichocladius rufiventris;6;0;
20896;Porzana sp. - chřástal - neurčený druh;6;0;
20897;Platyptilia ochrodactyla - Nezařazený druh;6;0;
20898;Pelochrista decolorana;6;0;
20899;Stenoptilia zophodactylus;6;0;
20900;Helicoconis lutea;6;0;
20901;Tenthredo silensis;6;0;
20902;Tubaria pellucida - kržatka průsvitná;6;0;
20903;Tripospermum myrti - Nezařazený druh;6;0;
20904;Capsus wagneri - klopuška třtinová;6;0;
20905;Varicosporium tricladiiforme - Nezařazený druh;6;0;
20906;Scenedesmus acutus;6;0;
20907;Tretocephala ambigua - lukovka písečná;6;0;
20908;Attulus distinguendus - skákavka šedá;6;0;
20909;Phaeocedus braccatus - skálovka šestitečná;6;0;
20910;Ribes odoratum - meruzalka vonná;6;0;
20911;Crossocerus dimidiatus - kutík pilonohý;6;0;
20912;Epinotia pusillana;6;0;
20913;Dasineura crataegi;6;0;
20914;Dasineura rubella;6;0;
20915;Chrysomela lapponica;6;0;
20916;Iris aphylla subsp. fieberi - kosatec bezlistý čedičový;6;0;
20917;Thienemanniella clavicornis;6;0;
20918;Ceutorhynchus striatellus;6;0;
20919;Stenoptilia graphodactyla;6;0;
20920;Loewia foeda;6;0;
20921;Verbascum × pseudolychnitis;6;0;
20922;Echinops ritro subsp. ruthenicus - bělotrn modrý ukrajinský;6;0;
20923;Euphyia bilinesta - Nezařazený druh;6;0;
20924;Ceratina chalybea;6;0;
20925;Diaptomus castor - vznášivka povodňová;6;0;
20926;Psylliodes tricolor;6;0;
20927;Pseudolysimachion sp.;6;0;
20928;Pelenomus olssoni;6;0;
20929;Microcystis ichthyoblabe;6;0;
20930;Navicula gallica var. laevissima - Nezařazený druh;6;0;
20931;Diervilla sp.;6;0;
20932;Russula columbaria - Nezařazený druh;6;0;
20933;Cydia corollana;6;0;
20934;Podalonia affinis;6;0;
20935;Tricellula aquatica - Nezařazený druh;6;0;
20936;Rhaphium micans;6;0;
20937;Dichagyris nigrescens;6;0;
20938;Coelioxys rufescens;6;0;
20939;Leccinum oxydabile - kozák červenající;6;0;
20940;Canthophorus melanopterus - hrabulka stepní;6;0;
20941;Dexiogyia corticina;6;0;
20942;Opomyza germinationis;6;0;
20943;Cochylis atricapitana;6;0;
20944;Tipula scripta;6;0;
20945;Pericoma pingarestica;6;0;
20946;Tetanocera silvatica;6;0;
20947;Molobratia teutonus;6;0;
20948;Chrysolina carnifex;6;0;
20949;Chlorops hypostigma;6;0;
20950;Rugosomyces persicolor - čirůvka broskvová;6;0;
20951;Anasimyia interpuncta;6;0;
20952;Procladius sp.;6;0;
20953;Coleophora astragalella;6;0;
20954;Carex caespitosa - Nezařazený druh;6;0;
20955;Platypalpus cruralis;6;0;
20956;Cosmarium bioculatum var. depressum;6;0;
20957;Staurastrum scabrum;6;0;
20958;Actinotaenium kriegeri;6;0;
20959;Cosmarium discrepans;6;0;
20960;Psathyrella leucotephra - křehutka běločerná;6;0;
20961;Centaurea solstitialis - chrpa žlutá;6;0;
20962;Dixa sp.;6;0;
20963;Pachybrachius fracticollis;6;0;
20964;Nemophora cupriacella;6;0;
20965;Astenus lyonessius;6;0;
20966;Viola × borussica;6;0;
20967;Hoplocampa crataegi;6;0;
20968;Ameletus inopinatus;6;0;
20969;Cortinarius cinamomeus - Nezařazený druh;6;0;
20970;Yigoga coryli - Nezařazený druh;6;0;
20971;Chrysis rutilans;6;0;
20972;Polydrusus tereticollis - Nezařazený druh;6;0;
20973;Kavinia alboviridis - kavinovka bělozelená;6;0;
20974;Coleophora ledi;6;0;
20975;Cerodontha thunebergi;6;0;
20976;Siphlonurus lacustris;6;0;
20977;Trichophaea woolhopeia - bělokosmatka osmahlá;6;0;
20978;Spiraea × bumalda - tavolník Bumaldův;6;0;
20979;Civizelotes gracilis - skálovka štíhlá;6;0;
20980;Rhinusa florum;6;0;
20981;Mogulones dimidiatus;6;0;
20982;Pammene herrichiana;6;0;
20983;Campylopus subulatus - křivonožka krátkolistá;6;0;
20984;Arboridia ribauti;6;0;
20985;Closterium juncidum var. brevius;6;0;
20986;Cosmarium subtumidum;6;0;
20987;Gymnophora arcuata;6;0;
20988;Mycetophila unipunctata;6;0;
20989;Scapania lingulata - kýlnatka drobnolistá;6;0;
20990;Spilomena mocsaryi - plotníček Mocsáryův;6;0;
20991;Chenopodium foliosum - merlík listnatý;6;0;
20992;Centaurea macrocephala - chrpa žlutokvětá;6;0;
20993;Perlodes sp.;6;0;
20994;Miccotrogus picirostris - Nezařazený druh;6;0;
20995;Monotoma spinicollis;6;0;
20996;Allodynerus delphinalis;6;0;
20997;Hypholoma subviridens - Nezařazený druh;6;0;
20998;Dorytomus nordenskioldi;6;0;
20999;Alucita desmodactyla;6;0;
21000;Dictenidia bimaculata;6;0;
21001;Tomentella punicea - vatička granátová;6;0;
21002;Corticaria interstitialis;6;0;
21003;Achenium humile;6;0;
21004;Heterocordylus genistae - klopuška kručinková;6;0;
21005;Epuraea thoracica;6;0;
21006;Jassargus pseudocellaris;6;0;
21007;Cheilymenia granulata - žlutěnka zrnitá;6;0;
21008;Eurhadina pulchella;6;0;
21009;Mycetophila curviseta;6;0;
21010;Rondaniella dimidiata;6;0;
21011;Brodoa atrofusca;6;0;
21012;Archaeodictyna consecuta - cedivečka stepní;6;0;
21013;Synaphe antennalis;6;0;
21014;Lestica subterranea - kutík podzemní;6;0;
21015;Cichorium sp.;6;0;
21016;Hemerobius stigma;6;0;
21017;Rhizocarpon oederi;6;0;
21018;Trichoncyboides simoni - pavučenka Simonova;6;0;
21019;Savignia frontata - pavučenka lachtaní;6;0;
21020;Abia nitens;6;0;
21021;Mielichhoferia mielichhoferiana - měďovka Mielichhoferova;6;0;
21022;Neonothrus humicolus - podvlažník smrkový;6;0;
21023;Chamobates pusillus - kuličník dvojbarevný;6;0;
21024;Camelina sp.;6;0;
21025;Calybites quadrisignella;6;0;
21026;Agrostis stolonifera × A. vinealis;6;0;
21027;Chrysolina fastuosa - Nezařazený druh;6;0;
21028;Gomphonema augur;6;0;
21029;Alliopsis billbergi;6;0;
21030;Melanagromyza astragali;6;0;
21031;Meligramma trianguliferum;6;0;
21032;Villa halteralis;6;0;
21033;Roncus lubricus;6;0;
21034;Simplocaria maculosa;6;0;
21035;Hieracium mixtum s.l.;6;0;
21036;Hedychridium femoratum;6;0;
21037;Candelariella viae-lacteae;6;0;
21038;Salix × onusta;6;0;
21039;Lixus neglectus;6;0;
21040;Coleophora paramayrella;6;0;
21041;Euchlanis triquetra;6;0;
21042;Testudinella aspis;6;0;
21043;Sorbus x thuringiaca - Nezařazený druh;6;0;
21044;Phaeocollybia christinae - kořenatka Kristinina;6;0;
21045;Anopheles claviger;6;0;
21046;Scaphisoma balcanicum;6;0;
21047;Diadocidia spinosula;6;0;
21048;Platyura marginata;6;0;
21049;Euphranta connexa;6;0;
21050;Lonchaea scutellaris;6;0;
21051;Trichocera rufulenta;6;0;
21052;Forcipomyia ciliata;6;0;
21053;Pipunculus tenuirostris;6;0;
21054;Aphis idaei;6;0;
21055;Allochernes peregrinus;6;0;
21056;Trichosirocalus spurnyi;6;0;
21057;Entoloma caesiocinctum - závojenka namodralá;6;0;
