Číslo;Druh/počet záznamů;Nálezů;Zastoupení (%);
212;Crepis biennis - škarda dvouletá;31199;,11;
213;Lycopus europaeus - karbinec evropský;31191;,11;
214;Tachybaptus ruficollis - potápka malá;30921;,11;
215;Polygonatum multiflorum - kokořík mnohokvětý;30894;,11;
216;Robinia pseudacacia - trnovník akát;30819;,11;
217;Galium palustre - svízel bahenní;30706;,11;
218;Alliaria petiolata - česnáček lékařský;30705;,11;
219;Viola palustris - violka bahenní;30663;,11;
220;Lysimachia nummularia - vrbina penízková;30429;,11;
221;Stellaria graminea - ptačinec trávovitý;30342;,11;
222;Cirsium heterophyllum - pcháč různolistý;30206;,11;
223;Scrophularia nodosa - krtičník hlíznatý;30162;,11;
224;Glyceria fluitans - zblochan vzplývavý;30129;,11;
225;Symphytum officinale - kostival lékařský;29877;,1;
226;Leucanthemum vulgare agg.;29446;,1;
227;Turdus viscivorus - drozd brávník;29231;,1;
228;Carex rostrata - ostřice zobánkatá;29227;,1;
229;Cerastium holosteoides subsp. triviale - rožec obecný luční;28990;,1;
230;Petasites albus - devětsil bílý;28875;,1;
231;Molinia caerulea - bezkolenec modrý;28808;,1;
232;Ficaria verna subsp. bulbifera - orsej jarní hlíznatý;28785;,1;
233;Tanacetum vulgare - vratič obecný;28680;,1;
234;Pieris rapae - bělásek řepový;28479;,1;
235;Daucus carota - mrkev obecná;28249;,1;
236;Carex pilulifera - ostřice kulkonosná;28098;,1;
237;Pieris napi - bělásek řepkový;28040;,1;
238;Milium effusum - pšeníčko rozkladité;27960;,1;
239;Lythrum salicaria - kyprej vrbice;27803;,1;
240;Lathyrus vernus - hrachor jarní;27707;,1;
241;Ligustrum vulgare - ptačí zob obecný;27591;,1;
242;Securigera varia - čičorka pestrá;27536;,1;
243;Artemisia vulgaris - pelyněk černobýl;26977;,09;
244;Galium uliginosum - svízel slatinný;26719;,09;
245;Chaerophyllum aromaticum - krabilice zápašná;26590;,09;
246;Primula elatior - prvosenka vyšší;26513;,09;
247;Phylloscopus trochilus - budníček větší;26455;,09;
248;Carex pilosa - ostřice chlupatá;26424;,09;
249;Typha latifolia - orobinec širokolistý;26053;,09;
250;Ulmus glabra - jilm drsný;26051;,09;
251;Carex digitata - ostřice prstnatá;25842;,09;
252;Mergus merganser - morčák velký;25811;,09;
253;Pleurozium schreberi - travník Schreberův;25666;,09;
254;Trifolium medium - jetel prostřední;25640;,09;
255;Clinopodium vulgare - klinopád obecný;25554;,09;
256;Alnus incana - olše šedá;25526;,09;
257;Salix aurita - vrba ušatá;25452;,09;
258;Phasianus colchicus - bažant obecný;25451;,09;
259;Campanula persicifolia - zvonek broskvolistý;25379;,09;
260;Sambucus racemosa - bez červený;25222;,09;
261;Sylvia communis - pěnice hnědokřídlá;25049;,09;
262;Euonymus europaea - brslen evropský;24922;,09;
263;Coccothraustes coccothraustes - dlask tlustozobý;24874;,09;
264;Hepatica nobilis - jaterník podléška;24796;,09;
265;Regulus regulus - králíček obecný;24772;,09;
266;Dentaria bulbifera - kyčelnice cibulkonosná;24669;,09;
267;Maniola jurtina - okáč luční;24553;,09;
268;Carex acuta - ostřice štíhlá;24475;,09;
269;Cuculus canorus - kukačka obecná;24362;,08;
270;Equisetum palustre - přeslička bahenní;24248;,08;
271;Haliaeetus albicilla - orel mořský;24052;,08;
272;Lissotriton vulgaris - čolek obecný;23980;,08;
273;Coenonympha pamphilus - okáč poháňkový;23955;,08;
274;Crex crex - chřástal polní;23862;,08;
275;Inachis io - babočka paví oko;23842;,08;
276;Lemna minor - okřehek menší;23834;,08;
277;Accipiter nisus - krahujec obecný;23800;,08;
278;Ciconia nigra - čáp černý;23750;,08;
279;Agrimonia eupatoria - řepík lékařský;23703;,08;
280;Chrysosplenium alternifolium - mokrýš střídavolistý;23588;,08;
281;Plantago major - jitrocel větší;23579;,08;
282;Myosotis nemorosa - pomněnka hajní;23476;,08;
283;Festuca altissima - kostřava lesní;23422;,08;
284;Rumex acetosella - šťovík menší;23245;,08;
285;Lamium maculatum - hluchavka skvrnitá;23195;,08;
286;Gallinula chloropus - slípka zelenonohá;23165;,08;
287;Myosotis palustris agg.;23052;,08;
288;Carex panicea - ostřice prosová;23019;,08;
289;Festuca rupicola - kostřava žlábkatá;22977;,08;
290;Anas crecca - čírka obecná;22961;,08;
291;Equisetum arvense - přeslička rolní;22936;,08;
292;Spinus spinus - čížek lesní;22923;,08;
293;Dianthus deltoides - hvozdík kropenatý;22896;,08;
294;Plantago media - jitrocel prostřední;22877;,08;
295;Actaea spicata - samorostlík klasnatý;22839;,08;
296;Prunella modularis - pěvuška modrá;22754;,08;
297;Eriophorum angustifolium - suchopýr úzkolistý;22615;,08;
298;Motacilla cinerea - konipas horský;22614;,08;
299;Leucanthemum vulgare - kopretina bílá;22560;,08;
300;Luzula campestris - bika ladní;22456;,08;
301;Moehringia trinervia - mateřka trojžilná;22280;,08;
302;Valeriana dioica - kozlík dvoudomý;22204;,08;
303;Vicia sepium - vikev plotní;22099;,08;
304;Leontodon autumnalis - máchelka podzimní;22052;,08;
305;Daphne mezereum - lýkovec jedovatý;22034;,08;
306;Hypnum cupressiforme s.l.;21792;,08;
307;Impatiens glandulifera - netýkavka žláznatá;21619;,08;
308;Epilobium angustifolium - vrbovka úzkolistá;21582;,08;
309;Centaurea scabiosa - chrpa čekánek;21533;,08;
310;Carlina acaulis - pupava bezlodyžná;21527;,08;
311;Polyommatus icarus - modrásek jehlicový;21403;,07;
312;Emberiza schoeniclus - strnad rákosní;21312;,07;
313;Agrostis stolonifera - psineček výběžkatý;21310;,07;
314;Rana dalmatina - skokan štíhlý;21045;,07;
315;Equisetum fluviatile - přeslička poříční;20872;,07;
316;Carex pallescens - ostřice bledavá;20851;,07;
317;Pyrrhula pyrrhula - hýl obecný;20818;,07;
318;Rubus caesius - ostružiník ježiník;20665;,07;
319;Pimpinella major - bedrník větší;20646;,07;
320;Fragaria viridis - jahodník trávnice;20437;,07;
321;Agrostis canina - psineček psí;20304;,07;
322;Lolium perenne - jílek vytrvalý;20302;,07;
323;Dactylis polygama - srha hajní;20300;,07;
324;Carex vesicaria - ostřice měchýřkatá;20273;,07;
325;Charadrius dubius - kulík říční;20196;,07;
326;Trientalis europaea - sedmikvítek evropský;20076;,07;
327;Galeobdolon luteum - pitulník žlutý;20073;,07;
